,2024-03-31
Treasury Shares Number,
Ordinary Shares Number,15337686000.0
Share Issued,15337686000.0
Net Debt,71895000000.0
Total Debt,104590000000.0
Tangible Book Value,74194000000.0
Invested Capital,178784000000.0
Working Capital,4594000000.0
Net Tangible Assets,74194000000.0
Capital Lease Obligations,
Common Stock Equity,74194000000.0
Total Capitalization,166025000000.0
Total Equity Gross Minority Interest,74194000000.0
Stockholders Equity,74194000000.0
Gains Losses Not Affecting Retained Earnings,-8960000000.0
Other Equity Adjustments,-8960000000.0
Retained Earnings,4339000000.0
Capital Stock,78815000000.0
Common Stock,78815000000.0
Total Liabilities Net Minority Interest,263217000000.0
Total Non Current Liabilities Net Minority Interest,139395000000.0
Other Non Current Liabilities,47564000000.0
Tradeand Other Payables Non Current,
Long Term Debt And Capital Lease Obligation,91831000000.0
Long Term Capital Lease Obligation,
Long Term Debt,91831000000.0
Current Liabilities,123822000000.0
Other Current Liabilities,57298000000.0
Current Deferred Liabilities,8012000000.0
Current Deferred Revenue,8012000000.0
Current Debt And Capital Lease Obligation,12759000000.0
Current Capital Lease Obligation,
Current Debt,12759000000.0
Other Current Borrowings,10762000000.0
Commercial Paper,1997000000.0
Payables And Accrued Expenses,45753000000.0
Payables,45753000000.0
Total Tax Payable,
Income Tax Payable,
Accounts Payable,45753000000.0
Total Assets,337411000000.0
Total Non Current Assets,208995000000.0
Other Non Current Assets,70262000000.0
Non Current Deferred Assets,
Non Current Deferred Taxes Assets,
Investments And Advances,95187000000.0
Other Investments,
Investmentin Financial Assets,95187000000.0
Available For Sale Securities,95187000000.0
Net PPE,43546000000.0
Accumulated Depreciation,-71697000000.0
Gross PPE,115243000000.0
Leases,
Other Properties,
Machinery Furniture Equipment,
Land And Improvements,
Properties,
Current Assets,128416000000.0
Other Current Assets,13884000000.0
Inventory,6232000000.0
Finished Goods,
Raw Materials,
Receivables,41150000000.0
Other Receivables,19313000000.0
Accounts Receivable,21837000000.0
Cash Cash Equivalents And Short Term Investments,67150000000.0
Other Short Term Investments,34455000000.0
Cash And Cash Equivalents,32695000000.0
Cash Equivalents,4468000000.0
Cash Financial,28227000000.0
